Country Name,Country Code,Series Name,Series Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.060797665,0.056258495,0.043144757,0.039272122,0.031077543,0.041129229,0.045618839,0.040415279,0.054403968,0.065524747,0.087857642,0.158961558,0.24907353,0.302936388,0.425262105,0.688083613,0.693183411,..,..,..
Afghanistan,AFG,Duration of compulsory education (years),SE.COM.DURS,..,..,6,6,6,6,6,..,..,..,..,9,9,9,9,9,9,9,..,..
Afghanistan,AFG,Fertility rate total (births per woman),SP.DYN.TFRT.IN,7.636,7.617,7.571,7.496,7.395,7.273,7.137,6.987,6.822,6.639,6.437,6.218,5.985,5.746,5.506,5.272,5.05,4.843,..,..
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,2461665938,4128820723,4583644246,5285465686,6275073572,7057598407,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20046334304,20050189882,19331286549,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,119.8990188,192.153653,203.6508332,224.9148691,257.1756945,280.2456441,380.4009552,384.1316813,458.9557816,569.9407288,622.3796544,690.842629,653.3474881,633.9478643,594.3230812,..
Afghanistan,AFG,Health expenditure per capita (current US$),SH.XPD.PCAP,..,..,..,..,..,15.48190406,19.33236793,20.89000224,21.89580296,22.18140928,26.98894729,33.80518937,43.52543981,52.8857608,52.38254929,58.16803071,53.36597308,56.57452735,..,..
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,..
Afghanistan,AFG,Life expectancy at birth female (years),SP.DYN.LE00.FE.IN,55.159,55.548,55.911,56.265,56.62,56.983,57.357,57.747,58.151,58.564,58.975,59.379,59.772,60.154,60.527,60.893,61.256,61.615,..,..
Afghanistan,AFG,Life expectancy at birth male (years),SP.DYN.LE00.MA.IN,52.931,53.312,53.678,54.041,54.409,54.785,55.167,55.559,55.957,56.355,56.747,57.126,57.491,57.844,58.186,58.524,58.859,59.193,..,..
Afghanistan,AFG,Life expectancy at birth total (years),SP.DYN.LE00.IN,54.01782927,54.40273171,54.76726829,55.12587805,55.48753659,55.85719512,56.23529268,56.62631707,57.0272439,57.43256098,57.83382927,58.22502439,58.60368293,58.97082927,59.32795122,59.67960976,60.02826829,60.37446341,..,..
Afghanistan,AFG,Population ages 0-14 (% of total),SP.POP.0014.TO.ZS,48.1865108,48.34388174,48.45983543,48.56363891,48.50606103,48.3474557,48.13166959,47.88143329,47.59249897,47.69633351,47.78680697,47.82522849,47.76667769,47.58934443,47.10041772,46.44924313,45.68525707,44.87099615,44.04194947,..
Afghanistan,AFG,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,49.51065008,49.37298909,49.27915237,49.19947477,49.27733747,49.45182172,49.67952717,49.93818684,50.23145541,50.10665863,49.99990726,49.94608677,49.98488457,50.13540598,50.58990078,51.19994572,51.92032918,52.69431931,53.48896081,..
Afghanistan,AFG,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,2.302839117,2.283129172,2.261012206,2.236886317,2.216601497,2.200722583,2.18880324,2.180379875,2.176045621,2.197007856,2.213285774,2.228684731,2.248437744,2.27524959,2.309681498,2.350811152,2.394413754,2.434684543,2.469089724,..
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,27.62327298,28.35444046,29.16156603,30.17789419,31.44802867,32.9122308,34.47502987,35.99523634,37.37393622,38.57429617,39.63720246,40.63465521,41.67400515,42.83032656,44.1276338,45.53319701,46.99705909,48.44454554,49.82164936,..
Afghanistan,AFG,Population total,SP.POP.TOTL,18034130,18511480,19038420,19701940,20531160,21487079,22507368,23499850,24399948,25183615,25877544,26528741,27207291,27962207,28809167,29726803,30682500,31627506,32526562,..
Afghanistan,AFG,Unemployment total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,8.5,8.5,8.399999619,8.300000191,8.399999619,8.300000191,8.199999809,8.5,8.5,8.800000191,8.399999619,8.899999619,8.100000381,8.699999809,8.899999619,8.5,9.199999809,9.100000381,..,..
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.49036506,0.560271437,0.960164412,0.978174681,1.053304176,1.229540709,1.412697196,1.376212735,1.412498211,1.302576367,1.322334855,1.484311139,1.495600199,1.578573584,1.803972418,1.624721963,1.662184826,..,..,..
Albania,ALB,Duration of compulsory education (years),SE.COM.DURS,..,..,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,..,..
Albania,ALB,Fertility rate total (births per woman),SP.DYN.TFRT.IN,2.423,2.337,2.249,2.16,2.068,1.975,1.884,1.798,1.724,1.668,1.635,1.625,1.636,1.663,1.699,1.735,1.765,1.784,..,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2359903108,2707123772,3414760915,3632043908,4060758804,4435078648,5746945913,7314865176,8158548717,8992642349,10701011897,12881352688,12044212904,11926953259,12890867539,12319784787,12781029644,13219857459,11398392444,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,749.584649,865.3021618,1098.425463,1175.788981,1326.970339,1453.642777,1890.681557,2416.588235,2709.142931,3005.012903,3603.013685,4370.539647,4114.136545,4094.358832,4437.811999,4247.839852,4412.345578,4568.568827,3945.217582,..
Albania,ALB,Health expenditure per capita (current US$),SH.XPD.PCAP,52.94161894,61.25168194,75.95312403,74.02882494,78.66819861,89.9161553,112.6301178,153.2625501,166.2279289,175.4611126,216.9430813,254.735035,238.0709795,219.2738575,255.2555999,239.5128679,253.3418956,272.2042915,..,..
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,..
Albania,ALB,Life expectancy at birth female (years),SP.DYN.LE00.FE.IN,75.96,76.41,76.906,77.42,77.922,78.384,78.787,79.119,79.374,79.557,79.692,79.799,79.891,79.979,80.072,80.175,80.288,80.415,..,..
Albania,ALB,Life expectancy at birth male (years),SP.DYN.LE00.MA.IN,69.982,70.39,70.829,71.273,71.695,72.079,72.415,72.7,72.946,73.171,73.402,73.655,73.935,74.235,74.544,74.843,75.119,75.369,..,..
